,0
Kissin' And Twistin',182.0
Finger Poppin' Time,182.0
(I Do The) Shimmy Shimmy,481.0
Everglades,300.0
If She Should Come To You (La Montana),335.0
My Love For You,517.0
That's How Much,296.0
Run Samson Run,308.0
Walk -- Don't Run,36.0
Three Nights A Week,165.0
I Wish I'd Never Been Born,364.0
Twistin' U.S.A.,243.0
(You've Got To) Move Two Mountains,220.0
Anymore,496.0
One Of The Lucky Ones,434.0
Side Car Cycle,504.0
So Sad (To Watch Good Love Go Bad),84.0
A Fool In Love,351.0
Push Push,180.0
Mr. Custer,13.0
Kiddio,119.0
A Million To One,75.0
Night Theme,525.0
Have Mercy Baby,528.0
Chain Gang,32.0
"(Theme from) ""The Dark At The Top Of The Stairs""",420.0
Theme From The Sundowners,736.0
Whole Lot Of Shakin' Going On,275.0
It's Now Or Never,20.0
Whole Lotta Shakin' Goin' On,336.0
Stranger From Durango,180.0
Tonights The Night,468.0
Theme From The Apartment,200.0
Love Walked In,300.0
Let's Think About Living,98.0
My Heart Has A Mind Of Its Own,17.0
Devil Or Angel,114.0
Cry Cry Cry,355.0
Serenata,510.0
The Green Leaves Of Summer,455.0
Ruby Duby Du From Key Witness,287.0
Togetherness,338.0
The Big Time Spender (Parts I & II),375.0
Dear John,352.0
(You Better) Know What You're Doin',180.0
You Talk Too Much,39.0
Don't Go To Strangers,252.0
Ruby Duby Du,240.0
Georgia On My Mind,13.0
I Missed Me,264.0
I Want To Be Wanted,15.0
Sleep,208.0
Child Of God,95.0
"Adeste Fideles (Oh, Come, All Ye Faithful)",135.0
Natural Born Lover,342.0
Am I The Man,320.0
Gloria's Theme,444.0
Ramona,360.0
Have You Ever Been Lonely (Have You Ever Been Blue),420.0
Rambling,292.0
Make Someone Happy,160.0
Save The Last Dance For Me,18.0
I Idolize You,328.0
Am I Losing You,341.0
This Is My Story,100.0
Christmas Auld Lang Syne,153.0
Talk To Me Baby,184.0
Like Strangers,220.0
Twistin' Bells,147.0
The Hucklebuck,182.0
Oh Lonesome Me,186.0
Spoonful,234.0
Is There Something On Your Mind,89.0
How To Handle A Woman,192.0
Ballad Of The Alamo,442.0
(Let's Do) The Hully Gully Twist,198.0
We Have Love,228.0
"Rockin', Rollin' Ocean",396.0
Ruby,252.0
Alone At Last,120.0
You've Got To Love Her With A Feeling,186.0
Sway,154.0
A Perfect Love,282.0
Wabash Blues,539.0
And The Heavens Cried,168.0
I Don't Want Nobody (To Have My Love But You),234.0
Poetry In Motion,30.0
Fools Rush In (Where Angels Fear To Tread),240.0
Milk Cow Blues,237.0
New Orleans,84.0
Walk Slow,384.0
You Don't Want My Love,448.0
The Puppet Song,392.0
"Tonite, Tonite",95.0
Sad Mood,232.0
"Oh, How I Miss You Tonight",315.0
Perfidia,195.0
Don't Read The Letter,260.0
In The Still Of The Nite,495.0
Bumble Bee,506.0
Gift Of Love,182.0
Sugar Bee,400.0
Doll House,310.0
Blue Tango,160.0
Many Tears Ago,91.0
Lonely Teenager,192.0
I'm Hurtin',216.0
My Girl Josephine,210.0
Flamingo Express,246.0
Baby Oh Baby,168.0
"Yes, I'm Lonesome Tonight",330.0
Sound-Off,308.0
Don't Let Him Shop Around,184.0
The Hoochi Coochi Coo,253.0
Main Theme from Exodus (Ari's Theme),403.0
Lovey Dovey,225.0
You Are The Only One,200.0
A Thousand Stars,51.0
I'm Learning About Love,132.0
Close Together,272.0
